,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20890,NSE 504E,Physics&Chem.of NanoStructures,Physical (Face to face),"Ahmet Bozkurt , Birgül Benli",MDB,Wednesday,08:30/11:29,--,25,24,-,-,-,-
1,20891,NSE 506E,Fabricat.Tech.in Nanotechno.,Physical (Face to face),Hüseyin Kızıl,KMB,Thursday,13:30/16:29,D107,25,23,-,-,-,-
2,20893,NSE 511E,Molecular biomime.&synt.biolog,Physical (Face to face),Abdulhalim Kılıç,MOBGAM,Monday,13:30/16:29,--,20,10,-,-,-,-
3,20894,NSE 516E,Nanofiber Produc.&Application,Physical (Face to face),"Ali Kılıç , Ali Demir , Ali Toptaş",MKB,Tuesday,09:30/12:29,--,20,5,-,-,-,-
4,20911,NSE 518E,Nanotech.&Nanoapplic.in food,Physical (Face to face),Fatih Ortakcı,KMB,Friday,14:30/17:29,D305,20,3,-,-,-,-
5,20912,NSE 522E,Nanoelectronics,Physical (Face to face),"Nurcan Doğan Bingölbali , Onur Ergen",EEB,Tuesday,15:30/18:29,--,20,3,-,-,-,-
6,20915,NSE 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Ömer Şahin,KMB,Tuesday,14:00/15:59,D203,20,10,-,-,-,-
7,20913,NSE 602E,Advan.Nanocharac.Techn.,Physical (Face to face),"Bihter Zeytuncu Gökoğlu , Birgül Benli",KMB,Monday,09:30/12:29,D104,20,10,-,-,-,-
8,20916,NSE 604E,Nuclear Techn.for Nanomaterial,Physical (Face to face),"Nilgün Baydoğan , Nilgün Yavuz , Sema Erentürk , Nesrin Altınsoy , Sevilay Hacıyakupoğlu , Ayşe Filiz Baytaş",ENB,Friday,09:30/12:29,--,20,1,-,-,-,-
9,20918,NSE 606E,Nanomedicine,Physical (Face to face),Nurcan Doğan Bingölbali,EEB,Wednesday,12:00/14:59,--,20,15,-,-,-,-
10,20920,NSE 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Ömer Şahin,KMB,Wednesday,15:30/17:29,D205,20,4,NAS_NE_DR/20/4 | Diğer/0/0,NAS_NE_DR,-,-
11,20921,NSE DRT,Tez Çalışması,Physical (Face to face),Birgül Benli,-,-,-/-,-,200,11,-,-,-,-
12,20922,NSE YET,Yeterlik Aşaması,Physical (Face to face),Birgül Benli,-,-,-/-,-,200,6,-,-,-,-
13,20924,NSE YLT,Tez Çalışması,Physical (Face to face),Birgül Benli,-,-,-/-,-,200,22,-,-,-,-
