,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22565,NUK 501E,Engineering Mathematics,Physical (Face to face),"Ahmet Durmayaz , Ayşe Nur Esen , Muhammet Enis Kanık",ENB,Tuesday,09:30/12:29,--,20,3,-,-,-,-
1,22571,NUK 506E,Radiation Protection and Health Physics,Physical (Face to face),Ahmet Bozkurt,ENB,Monday,09:30/12:29,--,20,8,-,-,-,-
2,22582,NUK 508,Radyasyon Algılama ve Ölçme,Physical (Face to face),"Recep Bıyık , Ayşe Nur Esen",ENB,Wednesday,09:30/12:29,--,20,3,-,-,-,-
3,22583,NUK 510E,Heat Transfer in Nuclear Reactors,Physical (Face to face),Ahmet Durmayaz,ENB,Wednesday,13:30/16:29,--,20,2,-,-,-,-
4,22585,NUK 516,Nükleer Mühendislikte Özel Konular,Physical (Face to face),İskender Atilla Reyhancan,ENB,Thursday,13:30/16:29,--,20,3,-,-,-,-
5,22602,NUK 528E,Radiation Shielding,Physical (Face to face),Nilgün Baydoğan,ENB,Tuesday,09:30/12:29,--,20,1,-,-,-,-
6,22609,NUK 530E,Radiation Dosimetry,Physical (Face to face),Nesrin Altınsoy,ENB,Wednesday,13:30/16:29,--,20,1,-,-,-,-
7,22621,NUK 596,"Bilimsel Araştırma, Etik ve Seminer",Physical (Face to face),Muhammet Enis Kanık,ENB,Friday,14:30/16:29,--,20,2,-,-,-,-
8,22626,NUK 602E,Convective Boiling&Conden.,Physical (Face to face),Ahmet Durmayaz,ENB,Monday,13:30/16:29,--,20,1,-,-,-,-
9,22650,NUK DRT,Tez Çalışması,Physical (Face to face),Sevilay Hacıyakupoğlu,-,-,-/-,-,200,5,-,-,-,-
