,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21014,PEM 502E,Theore.Thresho.in Lands.Arch.,Physical (Face to face),Ebru Erbaş Gürler,MMB,Tuesday,09:30/12:29,134,20,11,-,-,-,-
1,21016,PEM 504E,Project II,Physical (Face to face),Ikhwan Kım,MMB,Thursday,09:30/12:29,3504,20,9,-,-,-,-
2,21019,PEM 508,Kentsel Mekan Tasarımı,Physical (Face to face),Didem Dizdaroğlu,MMB,Monday,09:30/12:29,119B,15,5,-,-,-,-
3,21020,PEM 512,Yaya Mekanları,Physical (Face to face),Elif Lutfiye Kutay Karaçor,MMB,Monday,09:30/12:29,319,12,3,-,-,-,-
4,21018,PEM 528E,Qualit.Rese.Meth.in Des.&Plan.,Physical (Face to face),Melih Bozkurt,MMB,Tuesday,13:30/16:29,320,10,6,-,-,-,-
5,21021,PEM 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Nilay Özlü Karaca,MMB,Wednesday,10:30/12:29,136A,20,3,-,-,-,-
6,21006,PEM 616E,Readings on Public Space,Physical (Face to face),Elif Kısar Koramaz,MMB,Monday,13:30/16:29,3501,10,13,-,-,-,-
7,21009,PEM 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Nilay Özlü Karaca,MMB,Wednesday,15:30/17:29,--,10,2,PEM_PM_DR/10/2 | Diğer/0/0,PEM_PM_DR,-,-
8,21011,PEM DRT,Tez Çalışması,Physical (Face to face),Elif Lutfiye Kutay Karaçor,-,-,-/-,-,200,16,-,-,-,-
9,21012,PEM YET,Yeterlik Aşaması,Physical (Face to face),Elif Lutfiye Kutay Karaçor,-,-,-/-,-,200,1,-,-,-,-
10,21022,PEM YLT,Tez Çalışması,Physical (Face to face),Elif Lutfiye Kutay Karaçor,-,-,-/-,-,200,13,-,-,-,-
