,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22715,RST 508,Türkiye'de ve Dünyada T.Ç.ve K,Physical (Face to face),"Yegan Kahya Sayar , Sakine Yıldız Salman",MMB,Thursday,09:30/12:29,136A,10,10,-,-,-,-
1,22727,RST 510,Osmanlı Mimarlığında Yap. Tek.,Physical (Face to face),Gülsüm Tanyeli,MMB,Monday,13:30/16:29,309,11,12,-,-,-,-
2,22722,RST 514,Koruma Projesi II,Physical (Face to face),"Yegan Kahya Sayar , Zeynep Eres Özdoğan , Işıl Polat Pekmezci , Umut Almaç , Ömer Dabanlı , Lana Kudumoviç , Sakine Yıldız Salman , Mustafa Tahir Ocak",MMB,Tuesday,13:30/16:29,3503,10,9,-,-,-,-
3,22732,RST 518E,Laboratory Training for A&C,Physical (Face to face),Işıl Polat Pekmezci,MMB,Monday,09:30/12:29,123A,10,9,-,-,-,-
4,22736,RST 524E,Struct.Conser.of Histo.Buil.,Physical (Face to face),Umut Almaç,MMB,Tuesday,09:30/12:29,136A,12,10,-,-,-,-
5,22741,RST 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Zeynep Eres Özdoğan,MMB,Friday,09:30/11:29,313,15,1,-,-,-,-
6,22743,RST 616,Kültürel Miras Yönetimi,Physical (Face to face),Zeynep Eres Özdoğan,MMB,Wednesday,14:30/17:29,D380,10,6,-,-,-,-
7,22747,RST 619,Kırsal Mim.Miras.&Korum.Sorun.,Physical (Face to face),Zeynep Eres Özdoğan,MMB,Wednesday,10:30/13:29,136B,10,4,-,-,-,-
8,22752,RST 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Yegan Kahya Sayar,MMB,Wednesday,15:30/17:29,--,10,2,-,-,-,-
9,22758,RST DRT,Tez Çalışması,Physical (Face to face),Yegan Kahya Sayar,-,-,-/-,-,200,17,-,-,-,-
10,22763,RST YLT,Tez Çalışması,Physical (Face to face),Yegan Kahya Sayar,-,-,-/-,-,200,13,-,-,-,-
