,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22394,TEK 502E,Advanced Fibre Science,Physical (Face to face),Hale Karakaş,MKB,Monday,09:30/12:29,D450,30,12,-,-,-,-
1,22398,TEK 504E,Clothing Production Managem.,Physical (Face to face),Canan Sarıçam,MKB,Monday,13:30/16:29,D456,30,3,-,-,-,-
2,22416,TEK 520,Akustik Tekstiller,Physical (Face to face),"Cevza Candan , Fatma Banu Nergis",MKB,Friday,14:30/17:29,D452,30,3,-,-,-,-
3,22429,TEK 542E,Adv.Charac.&Testi.Meth.of Tex.,Physical (Face to face),Umut Kıvanç Şahin,MKB,Tuesday,13:30/16:29,D450,30,5,-,-,-,-
4,22437,TEK 544E,Experim.Design in Tex.Resear.,Physical (Face to face),Umut Kıvanç Şahin,MKB,Friday,09:30/12:29,D456,30,13,-,-,-,-
5,22440,TEK 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Yeşim Beceren,MKB,Tuesday,13:30/15:29,D460,30,2,-,-,-,-
6,22538,TEK 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Yeşim Beceren,MKB,Wednesday,15:30/17:29,D456,15,3,-,-,-,-
7,22539,TEK DRT,Tez Çalışması,Physical (Face to face),Nazan Okur,-,-,-/-,-,200,14,-,-,-,-
8,22540,TEK YET,Yeterlik Aşaması,Physical (Face to face),Nazan Okur,-,-,-/-,-,200,1,-,-,-,-
9,22442,TEK YLT,Tez Çalışması,Physical (Face to face),Nazan Okur,-,-,-/-,-,200,9,-,-,-,-
