,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25466,TEL 503,Uygulamalı Elektromany.Kuramı,Physical (Face to face),Özgür Özdemir,undeclared,Friday,14:00/16:59,--,0,16,-,-,-,-
1,22251,TEL 505E,Mobile Commun.Systems,Physical (Face to face),Mustafa Serdar Osmanca,EEB,Tuesday,09:30/12:29,5101,25,25,-,-,-,-
2,25464,TEL 508,Sayısal İletişim Kuramı,Physical (Face to face),Hakan Ali Çırpan,undeclared,Friday,14:00/16:59,--,0,15,-,-,-,-
3,22253,TEL 508E,Digital Communication Theory,Physical (Face to face),Ferkan Yılmaz,EEB,Monday,12:30/15:29,1301,40,10,-,-,-,-
4,25228,TEL 510E,Telecom.Net.Plan.&Manag.,Physical (Face to face),Ömer Melih Gül,EEB,Thursday,13:30/16:29,5106,20,6,-,-,-,-
5,22254,TEL 514,Telsiz İletişim,Physical (Face to face),İbrahim Altunbaş,EEB,Wednesday,09:30/12:29,5301,20,12,-,-,-,-
6,25474,TEL 514,Telsiz İletişim,Physical (Face to face),Ferkan Yılmaz,undeclared,Monday,17:00/19:59,--,0,7,-,-,-,-
7,22255,TEL 516E,Antenna Theory&Design,Physical (Face to face),Semih Doğu,EEB,Wednesday,12:30/15:29,1301,20,13,-,-,-,-
8,25469,TEL 516E,Antenna Theory&Design,Physical (Face to face),Kamil Karaçuha,undeclared,Monday,09:00/11:59,--,0,21,-,-,-,-
9,25475,TEL 519E,Image Processing,Physical (Face to face),Ender Mete Ekşioğlu,undeclared,Monday,13:00/15:59,--,0,12,-,-,-,-
10,22256,TEL 524E,Computational EM.,Physical (Face to face),Funda Akleman Yapar,EEB,Tuesday,09:30/12:29,--,20,19,-,-,-,-
11,25476,TEL 525E,Remote Sensing Systems,Physical (Face to face),Semih Doğu,undeclared,Monday,13:00/15:59,--,0,18,-,-,-,-
12,22257,TEL 526,Uydu İletişim Sistemleri,Physical (Face to face),Murat Tayfun Günel,EEB,Monday,13:30/16:29,--,20,11,-,-,-,-
13,22258,TEL 529,İleri Mühendislik Matematiği,Physical (Face to face),Ali Yapar,EEB,Tuesday,12:30/15:29,5307,45,42,-,-,-,-
14,22262,TEL 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Tayfun Akgül,EEB,Tuesday,15:30/17:29,5303,40,23,-,-,-,-
15,22259,TEL 603E,Adv. Topics in Telecommunicati,Physical (Face to face),Muhammet Tahir Güneşer,EEB,Tuesday,09:30/12:29,5106,20,8,-,-,-,-
16,25005,TEL 603E,Adv. Topics in Telecommunicati,Physical (Face to face),Emre Arslan,EEB,Friday,14:00/16:59,--,20,8,-,-,-,-
17,25470,TEL 606,Princip.of Adapt.Signal Proc.,Physical (Face to face),Işın Erer,undeclared,Monday,09:00/11:59,--,0,12,-,-,-,-
18,25463,TEL 608E,Spectral Estimation Methods,Physical (Face to face),Tayfun Akgül,undeclared,Friday,09:00/11:59,--,0,4,-,-,-,-
19,22263,TEL 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Tayfun Akgül,EEB,Wednesday,15:30/17:29,1303,40,1,-,-,-,-
20,22265,TEL DRT,Tez Çalışması,Physical (Face to face),Ender Mete Ekşioğlu,-,-,-/-,-,200,13,-,-,-,-
21,22266,TEL YET,Yeterlik Aşaması,Physical (Face to face),Ender Mete Ekşioğlu,-,-,-/-,-,200,3,-,-,-,-
22,22264,TEL YLT,Tez Çalışması,Physical (Face to face),Ender Mete Ekşioğlu,-,-,-/-,-,200,42,-,-,-,-
