,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24959,UAH 513E,Fourier Seri.&Boun.Value Prob.,Physical (Face to face),Mustafa Helvacı,EEB,Wednesday,13:30/16:29,--,30,18,-,-,-,-
1,24954,UAH 523,İşaret ve Görüntü İşleme,Physical (Face to face),Işın Erer,EEB,Friday,14:00/16:59,Z2,30,7,-,-,-,-
2,24955,UAH 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Sebahattin Eker,EEB,Monday,09:30/11:29,5106,30,4,-,-,-,-
3,24957,UAH 612E,Linear Transform Methods,Physical (Face to face),Mesut Kartal,EEB,Tuesday,12:30/15:29,5303,30,26,-,-,-,-
4,25477,UAH 612E,Linear Transform Methods,Physical (Face to face),Mesut Kartal,undeclared,Monday,13:00/15:59,--,0,7,-,-,-,-
5,24958,UAH 614E,Guided Research,Physical (Face to face),Mesut Kartal,EEB,Thursday,09:30/12:29,5101,30,31,-,-,-,-
6,24960,UAH 634,Uzak.Algı.Sayısal Elektromag.Y,Physical (Face to face),Sebahattin Eker,EEB,Monday,13:30/16:29,5106,30,5,-,-,-,-
7,24962,UAH 636,Uzaktan Algılamada Özel Uygul.,Physical (Face to face),Şinasi Kaya,EEB,Wednesday,09:30/12:29,--,30,7,-,-,-,-
8,24961,UAH 696,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Sebahattin Eker,EEB,Wednesday,15:30/17:29,--,30,1,-,-,-,-
9,24964,UAH DRT,Tez Çalışması,Physical (Face to face),İbrahim Akduman,-,-,-/-,-,200,6,-,-,-,-
10,24963,UAH YET,Yeterlik Aşaması,Physical (Face to face),İbrahim Akduman,-,-,-/-,-,200,2,-,-,-,-
11,24965,UAH YLT,Tez Çalışması,Physical (Face to face),İbrahim Akduman,-,-,-/-,-,200,7,-,-,-,-
