,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21444,YAP 501E,Engineering Mathematics,Physical (Face to face),Ünal Aldemir,INB,Tuesday,09:30/12:29,A304,25,25,-,-,-,-
1,21454,YAP 501E,Engineering Mathematics,Physical (Face to face),Semih Küçükarslan,INB,Tuesday,09:30/12:29,--,25,25,-,-,-,-
2,21458,YAP 501E,Engineering Mathematics,Physical (Face to face),Arcan Yanık,INB,Tuesday,09:30/12:29,--,26,26,-,-,-,-
3,21449,YAP 506,Yapı Sistem.Hesab.Matris Yön.,Physical (Face to face),Engin Orakdöğen,INB,Tuesday,09:30/12:29,A3,25,15,-,-,-,-
4,21479,YAP 510,Prefabrike Yapıların Tasarımı,Physical (Face to face),Turgut Öztürk,INB,Monday,09:30/12:29,YAPISMNR_B,20,9,-,-,-,-
5,21456,YAP 521,Yapı Malz.İç Yapısı ve Özellik,Physical (Face to face),"Hakan Nuri Atahan , Ünal Anıl Doğan , Özgür Ekincioğlu",INB,Tuesday,13:30/16:29,SÜHEYLAKMN,10,5,-,-,-,-
6,21481,YAP 535,Elastisite Teorisi,Physical (Face to face),Osman Bulut,INB,Wednesday,13:30/16:29,VURALCNMRE,15,7,-,-,-,-
7,21447,YAP 540E,Stability of Structures,Physical (Face to face),Hale Ergün,INB,Wednesday,09:30/12:29,VURALCNMRE,50,21,-,-,-,-
8,21463,YAP 556,Yapı.Lifli Poli.Kompo.ile Güç:,Physical (Face to face),"Alper İlki , Çağlar Akkaya",INB,Wednesday,09:30/12:29,B303,20,8,-,-,-,-
9,21469,YAP 566,Betonarme Taşıyıcı Sis.Düzenlm,Physical (Face to face),"Cem Demir , Alper İlki",INB,Tuesday,13:30/16:29,A101,20,11,-,-,-,-
10,21452,YAP 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Abdul Hayır,INB,Thursday,10:30/12:29,VURALCNMRE,20,13,-,-,-,-
11,21472,YAP 604E,Initial and Boundray Value Pr.,Physical (Face to face),Reha Artan,INB,Monday,09:30/12:29,A104,20,8,-,-,-,-
12,21467,YAP 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Burcu Güneş,INB,Wednesday,15:30/17:29,--,20,6,-,-,-,-
13,21487,YAP DRT,Tez Çalışması,Physical (Face to face),Barlas Özden Çağlayan,-,-,-/-,-,200,40,-,-,-,-
14,21489,YAP YET,Yeterlik Aşaması,Physical (Face to face),Barlas Özden Çağlayan,-,-,-/-,-,200,7,-,-,-,-
15,21490,YAP YLT,Tez Çalışması,Physical (Face to face),Barlas Özden Çağlayan,-,-,-/-,-,200,34,-,-,-,-
