,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21036,YIP 504,Yapımda İnsan Faktörü,Physical (Face to face),Murat Kuruoğlu,INB,Tuesday,09:30/12:29,GEOTEKNİK,15,6,-,-,-,-
1,21033,YIP 506,Bilgisayar Destekli Plan.Sist.,Physical (Face to face),Murat Kuruoğlu,INB,Monday,13:30/16:29,YAPI_İŞLT.,15,10,-,-,-,-
2,21038,YIP 507,İnş. Yön. Sistem Planlama,Physical (Face to face),Gürkan Emre Gürcanlı,INB,Tuesday,13:30/16:29,--,15,2,-,-,-,-
3,21034,YIP 512,Profesyonel İnşaat Yönetimi,Physical (Face to face),Gül Polat Tatar,INB,Tuesday,09:30/12:29,YAPI_İŞLT.,15,6,-,-,-,-
4,21035,YIP 514,Yapı Makinaları Yönetimi,Physical (Face to face),Gürkan Emre Gürcanlı,INB,Tuesday,09:30/12:29,VURALCNMRE,15,6,-,-,-,-
5,21041,YIP 518E,Building Information Modeling,Physical (Face to face),Esin Ergen Pehlevan,INB,Thursday,13:30/16:29,YAPI_İŞLT.,15,12,-,-,-,-
6,21037,YIP 520E,Claim Manag.&Dispu.Reso.,Physical (Face to face),Deniz Artan,INB,Tuesday,13:30/16:29,YAPI_İŞLT.,15,15,-,-,-,-
7,21077,YIP 525E,Lean Construction Concepts and Methods,Physical (Face to face),Onur Behzat Tokdemir,INB,Thursday,09:30/12:29,A2,17,19,-,-,-,-
8,21039,YIP 596,"Bilimsel Araş.,Etik ve Seminer",Physical (Face to face),Murat Kuruoğlu,INB,Wednesday,13:30/15:29,YAPI_İŞLT.,30,6,-,-,-,-
9,25129,YIP 598,Proje,Physical (Face to face),Atilla Damcı,-,-,-/-,-,5,1,-,-,-,-
10,21056,YIP YLT,Tez Çalışması,Physical (Face to face),Atilla Damcı,-,-,-/-,-,200,27,-,-,-,-
