,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22215,YSB 526E,Physical Hydrology,Physical (Face to face),Ömer Yetemen,AYBE,Tuesday,13:30/16:29,--,25,10,-,-,-,-
1,22216,YSB 541E,Fundamentals Of Ecology,Physical (Face to face),Emrah Çoraman,AYBE,Thursday,09:30/12:29,--,25,11,-,-,-,-
2,22218,YSB 572E,"Clim.Chan.: Sci., Impa.&Mitig.",Physical (Face to face),Ömer Lütfi Şen,AYBE,Thursday,09:30/12:29,--,25,18,-,-,-,-
3,22217,YSB 575E,Data Analys.for Climate Scie.,Physical (Face to face),Mehmet Ilıcak,AYBE,Tuesday,09:30/12:29,--,25,19,-,-,-,-
4,22225,YSB 579E,Special Top.in Earth Sys.Sci.,Physical (Face to face),Hüseyin Özdemir,AYBE,Wednesday,09:30/12:29,--,25,1,-,-,-,-
5,22226,YSB 596E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Hüseyin Özdemir,AYBE,Wednesday,13:30/15:29,--,25,3,-,-,-,-
6,22229,YSB 603E,Atmosph.Chem.for Clim.Sci.,Physical (Face to face),"Alper Ünal , Yusuf Aydın",AYBE,Friday,09:30/12:29,--,25,7,-,-,-,-
7,22234,YSB 607E,Land Atmosphere Interactions,Physical (Face to face),"Ömer Lütfi Şen , Yasemin Ezber",AYBE,Monday,09:30/12:29,--,25,3,-,-,-,-
8,22243,YSB 617E,Paleoclimatology,Physical (Face to face),Mehmet Akif Sarıkaya,AYBE,Thursday,13:30/16:29,--,25,8,-,-,-,-
9,22244,YSB 660E,Unmanned Aeri. Sy.in Earth Sc.,Physical (Face to face),Orkan Özcan,AYBE,Tuesday,14:30/17:29,--,25,5,-,-,-,-
10,22246,YSB 696E,"Scien.Rese., Ethic&Seminar",Physical (Face to face),Hüseyin Özdemir,AYBE,Wednesday,15:30/17:29,--,25,1,-,-,-,-
11,22249,YSB DRT,Tez Çalışması,Physical (Face to face),Ömer Yetemen,-,-,-/-,-,200,12,-,-,-,-
12,22250,YSB YET,Yeterlik Aşaması,Physical (Face to face),Ömer Yetemen,-,-,-/-,-,200,8,-,-,-,-
13,22247,YSB YLT,Tez Çalışması,Physical (Face to face),Ömer Yetemen,-,-,-/-,-,200,5,-,-,-,-
