,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20846,ITY 522,Teknoloji ve Hukuk,Physical (Face to face),Özgür Öztürk,MED,Tuesday,19:00/22:59,B37,0,35,-,-,-,-
1,20845,ITY 523,Finansal Yönetim,Physical (Face to face),Cumhur Enis Ekinci,MED,Monday,19:00/22:59,A12,0,37,-,-,-,-
2,20938,ITY 524,Teknoloji ve Pazarlama,Physical (Face to face),Huriye Şebnem Burnaz,MED,Wednesday,19:00/22:59,A12,40,20,-,-,-,-
3,20941,ITY 524,Teknoloji ve Pazarlama,Physical (Face to face),Huriye Şebnem Burnaz,MED,Saturday,10:00/13:59,A12,50,50,-,-,-,-
4,21377,ITY 526,Kurumsal Zeka&Veri Madenciliği,Physical (Face to face),Sefer Baday,MED,Saturday,14:00/17:59,B37,35,18,-,-,-,-
5,20942,ITY 528,Operasyon Yönetimi,Physical (Face to face),Ferhan Çebi,ISB,Monday,19:00/22:59,203,35,32,-,-,-,-
6,20946,ITY 528,Operasyon Yönetimi,Physical (Face to face),Ferhan Çebi,ISB,Tuesday,19:00/22:59,203,35,18,-,-,-,-
7,20847,ITY 529,İşletme&Teknol.Yön.Karar Ver.,Physical (Face to face),Yusuf İlker Topcu,ISB,Thursday,19:00/22:59,203,0,37,-,-,-,-
8,20939,ITY 530,Proje Yönetimi,Physical (Face to face),Ayberk Soyer,ISB,Wednesday,19:00/22:59,204,35,13,-,-,-,-
9,20944,ITY 530,Proje Yönetimi,Physical (Face to face),Ayberk Soyer,ISB,Thursday,19:00/22:59,204,35,26,-,-,-,-
10,20948,ITY 531,Yapay Zekâ ve Bilgi Yönetimi,Physical (Face to face),Mustafa Berker Yurtseven,MED,Saturday,14:00/17:59,A12,37,37,-,-,-,-
11,20940,ITY 536,E-Ticaret Teknolojileri&Uyg.,Physical (Face to face),Başar Öztayşi,MED,Friday,19:00/22:59,A12,35,28,-,-,-,-
12,20947,ITY 536,E-Ticaret Teknolojileri&Uyg.,Physical (Face to face),Başar Öztayşi,MED,Tuesday,19:00/22:59,A12,35,31,-,-,-,-
13,20943,ITY 542,Satınalma Yönetimi,Physical (Face to face),Murat Baskak,MED,Monday,19:00/22:59,B37,35,18,-,-,-,-
14,20848,ITY 544,Endüstri 4.0&Ekleme.İmal.Tek.,Physical (Face to face),Şule Itır Satoğlu,MED,Wednesday,19:00/22:59,B37,0,34,-,-,-,-
