,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24480,MAK 101,Makina Müh. Giriş ve Etik,Physical (Face to face),İsmail Yalçın Uralcan,MKB,Wednesday,13:30/15:29,A201,200,83,-,"MAK_LS, MAK_YD",-,-
1,24482,MAK 104E,Intr to Comp in Mech. Eng (C),Physical (Face to face),Bülent Bölat,MKB,Tuesday,08:30/11:29,406,50,9,-,"IML_LS, MAK_LS",-,-
2,24484,MAK 104E,Intr to Comp in Mech. Eng (C),Physical (Face to face),Bülent Bölat,MKB,Wednesday,08:30/11:29,409,60,29,-,"IML_LS, MAK_LS",-,-
3,24485,MAK 104E,Intr to Comp in Mech. Eng (C),Physical (Face to face),Bülent Bölat,MKB,Thursday,08:30/11:29,409,60,43,-,"IML_LS, MAK_LS",-,-
4,24491,MAK 104E,Intr to Comp in Mech. Eng (C),Physical (Face to face),Bülent Bölat,MKB,Friday,08:30/11:29,406,60,38,-,"IML_LS, MAK_LS",-,-
5,25325,MAK 104E,Intr to Comp in Mech. Eng (C),Physical (Face to face),Kubilay Yay,MKB,Friday,08:30/11:29,404,60,60,-,"IML_LS, MAK_LS",-,-
6,24573,MAK 105,Makine Tasarımına Giriş,Physical (Face to face),Adem Candaş,MKB MKB,Wednesday Thursday,08:30/10:29 08:30/11:29,R358 R358,50,4,-,"IML_LS, MAK_LS",-,-
7,24577,MAK 107,Makina Tasarımına Giriş,Physical (Face to face),Cevat Erdem İmrak,MKB,Thursday,08:30/11:29,R362,70,17,-,"IML_LS, MAK_LS",-,-
8,24578,MAK 107,Makina Tasarımına Giriş,Physical (Face to face),"Cevat Erdem İmrak , Adem Candaş",MKB,Friday,08:30/11:29,R362,80,71,-,"IML_LS, MAK_LS",-,-
9,24581,MAK 110E,Comput.Aided Technical Drawing,Physical (Face to face),Ali İmre Aydeniz,MKB,Wednesday,08:30/12:29,406,70,45,-,"IML_LS, IMLE_LS, MAK_LS, MAKE_LS",Detail,-
10,24584,MAK 110E,Comput.Aided Technical Drawing,Physical (Face to face),Ali İmre Aydeniz,MKB,Thursday,08:30/12:29,406,80,79,-,"IML_LS, IMLE_LS, MAK_LS, MAKE_LS",Detail,-
11,25324,MAK 110E,Comput.Aided Technical Drawing,Physical (Face to face),Adem Candaş,MKB,Friday,14:00/17:59,409,55,40,-,"IML_LS, IMLE_LS, MAK_LS, MAKE_LS",Detail,-
12,24585,MAK 114,Lineer Cebir ve Uygulamaları,Physical (Face to face),Sinem Öztürk,MKB MKB,Monday Tuesday,10:30/11:29 10:30/12:29,A101 A101,100,83,-,"IML_LS, MAK_LS",-,-
13,24587,MAK 114,Lineer Cebir ve Uygulamaları,Physical (Face to face),Umut Şahin,MKB MKB,Monday Tuesday,10:30/11:29 10:30/12:29,A201 A201,100,99,-,"IML_LS, MAK_LS",-,-
14,24590,MAK 118,Statik,Physical (Face to face),Mehmet Salih Dokuz,MKB MKB,Monday Tuesday,08:30/10:29 08:30/09:29,A201 A201,100,95,-,"MAK_LS, MKN_YD_MK",-,-
15,24592,MAK 118,Statik,Physical (Face to face),Sevinç Ayşe Zaloğlu,MKB MKB,Monday Tuesday,08:30/10:29 08:30/09:29,A501 A501,100,95,-,"MAK_LS, MKN_YD_MK",-,-
16,24594,MAK 198,Atölye: İşSağ.&Güv. Mak.Elema.,Physical (Face to face),"Serpil Kurt Habiboğlu , Adem Candaş",MKB,Thursday,12:30/14:29,D359,200,59,-,MAK_LS,-,-
17,24595,MAK 199,Atölye:CAD Mod.Tersine Müh.,Physical (Face to face),Hacı Abdullah Taşdemir,MKB MKB,Monday Thursday,12:30/13:29 12:30/13:29,-- --,200,175,-,MAK_LS,Detail,-
18,24596,MAK 200,Atölye,Physical (Face to face),Adem Candaş,-,-,-/-,-,100,6,-,"IML_LS, MAK_LS",Detail,-
19,24598,MAK 201E,Engineering Mathematics,Physical (Face to face),Hakan Öksüzoğlu,MKB MKB,Wednesday Friday,10:30/12:29 10:30/12:29,A501 A501,100,71,-,"IML_LS, MAK_LS",Detail,-
20,24604,MAK 202E,Numerical Meth.for Mech. Eng.,Physical (Face to face),Hakan Öksüzoğlu,MKB MKB,Monday Tuesday,13:30/15:29 16:30/17:29,A201 A201,150,127,-,"IML_LS, MAK_LS",Detail,-
21,24607,MAK 202E,Numerical Meth.for Mech. Eng.,Physical (Face to face),Hakan Öksüzoğlu,MKB MKB,Tuesday Friday,10:30/12:29 09:30/10:29,D357 D357,100,43,-,"IML_LS, MAK_LS",Detail,-
22,24609,MAK 203,Dinamik,Physical (Face to face),Uğurcan Eroğlu,MKB MKB,Tuesday Thursday,10:30/12:29 08:30/10:29,A501 A501,80,63,-,"MAK_LS, MKN_YD_MK",Detail,-
23,24611,MAK 205,Mukavemet I,Physical (Face to face),Uğurcan Eroğlu,MKB MKB,Tuesday Thursday,13:30/15:29 15:30/16:29,A501 A501,100,95,-,"MAK_LS, MKN_YD_MK",Detail,-
24,24613,MAK 206,Mukavemet II,Physical (Face to face),Emin Sünbüloğlu,MKB MKB,Tuesday Thursday,13:30/15:29 15:30/16:29,A101 A101,60,12,-,"MAK_LS, MKN_YD_MK",Detail,-
25,24615,MAK 206,Mukavemet II,Physical (Face to face),Süreyya Ergün Bozdağ,MKB MKB,Tuesday Thursday,13:30/15:29 15:30/16:29,D368A D368A,60,58,-,"MAK_LS, MKN_YD_MK",Detail,-
26,24618,MAK 209E,Probability and Statistics,Physical (Face to face),Metin Kayıtmazbatır,MKB MKB,Monday Friday,08:30/10:29 08:30/09:29,D331 D331,100,78,-,"IML_LS, MAK_LS",-,-
27,24620,MAK 210E,Engineering Mathematics,Physical (Face to face),Sinem Öztürk,MKB MKB,Wednesday Friday,10:30/12:29 10:30/12:29,D357 D357,100,25,-,"IML_LS, MAK_LS",Detail,-
28,24621,MAK 211E,Probability and Statistics,Physical (Face to face),Metin Kayıtmazbatır,MKB MKB,Monday Tuesday,08:30/10:29 16:30/17:29,-- --,20,4,-,"IML_LS, MAK_LS",-,-
29,24622,MAK 213,Malzeme Bilimi,Physical (Face to face),Ramazan Murat Tabanlı,MKB MKB,Tuesday Thursday,08:30/10:29 10:30/12:29,D351 D351,70,14,-,"IML_LS, MAK_LS",-,-
30,24623,MAK 215,Termodinamik I,Physical (Face to face),Turgut Yılmaz,MKB MKB,Monday Thursday,10:30/12:29 13:30/14:29,D317 D317,60,27,-,MAK_LS,Detail,-
