,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22387,MET 214,Çözelti Termodinamiğinin Tem.,Physical (Face to face),Nuri Solak,KMB,Tuesday,10:30/13:29,D301,90,65,-,MET_LS,Detail,-
1,22391,MET 214E,Fund. of Sol. Thermodynamics,Physical (Face to face),Nuri Solak,KMB,Thursday,13:30/16:29,D201,90,74,-,"MET_LS, METE_LS",Detail,-
2,25525,MET 220,Mühendislik Matematiği,Ek Sınav,Kübra Onbaşlı,-,-,-/-,-,0,1,-,-,Detail,-
3,22395,MET 224,Faz Denge Diyagramları,Physical (Face to face),Nuri Solak,KMB,Thursday,10:30/13:29,D104,100,83,-,MET_LS,-,-
4,22399,MET 224E,Phase Equilibrium Diagrams,Physical (Face to face),Nuri Solak,KMB,Tuesday,13:30/16:29,D301,100,91,-,"MET_LS, METE_LS",-,-
5,22405,MET 228,Malzeme Kimyası,Physical (Face to face),Aytekin Uzunoğlu,KMB,Monday,13:30/15:29,D104,100,85,-,MET_LS,-,-
6,22408,MET 228E,Materials Chemistry,Physical (Face to face),Aytekin Uzunoğlu,KMB,Friday,14:00/15:59,D201,90,79,-,METE_LS,-,-
7,22411,MET 246,Malzeme Fiziği,Physical (Face to face),Muhammet Kürşat Kazmanlı,KMB,Wednesday,13:30/15:29,D201,90,80,-,MET_LS,-,-
8,22414,MET 246E,Materials Physics,Physical (Face to face),Hüseyin Kızıl,KMB,Wednesday,11:30/13:29,D204,90,77,-,METE_LS,-,-
9,22449,MET 248E,Mass & Energy Balance,Physical (Face to face),Cevat Bora Derin,KMB,Monday,11:30/13:29,D201,90,90,-,"MET_LS, METE_LS",Detail,-
10,22450,MET 248E,Mass & Energy Balance,Physical (Face to face),Mehmet Şeref Sönmez,KMB,Monday,11:30/13:29,D102,90,59,-,"MET_LS, METE_LS",Detail,-
11,22454,MET 252,Mlz.Sta. ve Dinamik Mukavemeti,Physical (Face to face),Murat Baydoğan,KMB,Tuesday,13:30/16:29,D104,100,69,-,MET_LS,-,-
12,22457,MET 252E,Sta and Dyn. Strng ofMaterials,Physical (Face to face),Murat Baydoğan,KMB,Friday,08:30/11:29,D201,100,70,-,METE_LS,-,-
13,25572,MET 315E,Fund. of Physical Metallurgy,Ek Sınav,Duygu Ağaoğulları,-,-,-/-,-,0,1,-,-,Detail,-
14,25526,MET 317E,Fund. of Transport Phenomena,Ek Sınav,Güldem Kartal Şireli,-,-,-/-,-,0,1,-,-,-,-
15,22461,MET 326,Kimyasal Metalurji II,Physical (Face to face),"Servet İbrahim Timur , Güldem Kartal Şireli",KMB,Monday,08:30/11:29,D204,100,90,-,MET_LS,Detail,-
16,22463,MET 326E,Chemical Metallurgy II,Physical (Face to face),"Cevat Bora Derin , Mehmet Şeref Sönmez , Onuralp Yücel",KMB,Monday,08:30/11:29,D102,90,74,-,METE_LS,Detail,-
17,22466,MET 328E,Introduction to Biomaterials,Physical (Face to face),"Gültekin Göller , İpek Akın Karadayı",KMB,Monday,13:30/15:29,D201,170,164,-,"MET_LS, METE_LS",-,-
18,25527,MET 337,Malzeme Karakterizasyon Met.,Ek Sınav,Gültekin Göller,-,-,-/-,-,0,1,-,-,Detail,-
19,22468,MET 344E,Mech. Properties of Materials,Physical (Face to face),"Hüseyin Çimenoğlu , Faiz Muhaffel",KMB,Thursday,11:30/13:29,D201,175,160,-,"MET_LS, METE_LS",-,-
20,22469,MET 346,Met.&Malz.Pros.Mod.&Sim.,Physical (Face to face),Sebahattin Gürmen,KMB,Tuesday,08:30/10:29,D301,90,73,-,MET_LS,-,-
21,22471,MET 346E,Mod.&Sim.of Met.&Mat.Process,Physical (Face to face),Cevat Bora Derin,KMB,Thursday,13:30/15:29,D105,90,82,-,METE_LS,-,-
22,22475,MET 348,Kalite Mühendisliği,Physical (Face to face),Billur Deniz Karahan,KMB,Tuesday,13:30/15:29,D105,90,83,-,MET_LS,Detail,-
23,22474,MET 348E,Quality Engineering,Physical (Face to face),Billur Deniz Karahan,KMB,Wednesday,08:30/10:29,D301,90,74,-,METE_LS,Detail,-
24,22481,MET 364,Ekstraktif Metalurji Lab.,Physical (Face to face),"Faiz Muhaffel , Hüseyin Çimenoğlu , Onuralp Yücel , Servet İbrahim Timur , Gültekin Göller , Sebahattin Gürmen , Filiz Şahin , Muhammet Kürşat Kazmanlı , Murat Baydoğan , Özgül Keleş , Cevat Bora Derin , Güldem Kartal Şireli , İpek Akın Karadayı , Bihter Zeytuncu Gökoğlu , Duygu Ağaoğulları , Mehmet Şeref Sönmez , Aytekin Uzunoğlu , Billur Deniz Karahan , Nuri Solak , Erçin Çağan Duran , Cevat Fahir Arısoy",KMB,Wednesday,11:30/13:29,ML1,90,83,-,MET_LS,Detail,-
25,22490,MET 364E,Extractive Metallurgy Lab.,Physical (Face to face),"Erçin Çağan Duran , Hüseyin Çimenoğlu , Onuralp Yücel , Servet İbrahim Timur , Sebahattin Gürmen , İpek Akın Karadayı , Murat Baydoğan , Özgül Keleş , Bihter Zeytuncu Gökoğlu , Cevat Bora Derin , Güldem Kartal Şireli , Duygu Ağaoğulları , Mehmet Şeref Sönmez , Mohammadreza Nofar , Aytekin Uzunoğlu , Billur Deniz Karahan , Nuri Solak , Kübra Onbaşlı , Faiz Muhaffel , Hüseyin Kızıl",KMB,Wednesday,13:30/15:29,ML1,80,63,-,METE_LS,Detail,-
26,22495,MET 366E,Energy Materials,Physical (Face to face),"Onuralp Yücel , Özgül Keleş , Billur Deniz Karahan",KMB,Friday,08:30/10:29,D304,55,20,-,"MET_LS, METE_LS",-,-
27,22498,MET 368E,Product.Tec. of Metallic Powd.,Physical (Face to face),Duygu Ağaoğulları,KMB,Friday,08:30/10:29,D102,35,31,-,"MET_LS, METE_LS",-,-
28,22501,MET 374,Proses Metalurjisi,Physical (Face to face),"Servet İbrahim Timur , Güldem Kartal Şireli",KMB,Friday,14:00/15:59,D303,35,11,-,MET_LS,-,-
29,22505,MET 376E,Heat Treatment of Metals,Physical (Face to face),"Hüseyin Çimenoğlu , Faiz Muhaffel",KMB,Tuesday,11:30/13:29,D201,150,120,-,"MET_LS, METE_LS",-,-
30,22526,MET 378E,Non-Ferrous Eng. Materials,Physical (Face to face),"Güldem Kartal Şireli , Duygu Ağaoğulları",KMB,Thursday,09:30/11:29,D103,110,104,-,"MET_LS, METE_LS",-,-
31,22528,MET 442,Kompozit Malzemelerin Tem.,Physical (Face to face),Duygu Ağaoğulları,KMB,Friday,10:30/12:29,D304,100,86,-,MET_LS,Detail,-
32,22529,MET 442E,Fund. of Composite Materials,Physical (Face to face),Mohammadreza Nofar,KMB,Friday,10:30/12:29,D102,90,55,-,METE_LS,Detail,-
33,22532,MET 444,Müh.Uyg.Demir ve Çelik E.Mlz.,Physical (Face to face),Cevat Fahir Arısoy,KMB,Wednesday,13:30/15:29,D303,90,73,-,MET_LS,Detail,-
34,22637,MET 444E,Iron&Steel Mat.in Eng. App,Physical (Face to face),Cevat Fahir Arısoy,KMB,Tuesday,10:30/12:29,D104,90,68,-,METE_LS,Detail,-
35,22642,MET 446,Met.ve Malz.Pros.Çevre ve Etik,Physical (Face to face),"Servet İbrahim Timur , Güldem Kartal Şireli",KMB,Tuesday,08:30/10:29,D104,90,70,-,MET_LS,-,-
36,22647,MET 446E,Envir.&Ethc.inMet.&Mat.Proces,Physical (Face to face),"Mehmet Şeref Sönmez , Cevat Fahir Arısoy",KMB,Tuesday,13:30/15:29,D303,70,61,-,METE_LS,-,-
