,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23584,MIM 106,Yapı Mekaniği,Physical (Face to face),Halet Almıla Büyüktaşkın,MMB MMB,Wednesday Wednesday,10:30/12:29 13:30/15:29,230 230,50,50,-,"EUT_LS, ICM_LS, MIM_LS",-,-
1,23585,MIM 106,Yapı Mekaniği,Physical (Face to face),Haluk Sesigür,MMB MMB,Wednesday Wednesday,10:30/12:29 13:30/15:29,214 214,50,49,-,"EUT_LS, ICM_LS, MIM_LS",-,-
2,23586,MIM 106,Yapı Mekaniği,Physical (Face to face),Ferhat Pakdamar,MMB MMB,Wednesday Wednesday,10:30/12:29 13:30/15:29,106 106,50,50,-,"EUT_LS, ICM_LS, MIM_LS",-,-
3,23587,MIM 106E,Structural Mechanics,Physical (Face to face),Gülseren Erol Soyöz,MMB MMB,Wednesday Wednesday,10:30/12:29 08:30/10:29,229 229,60,60,-,"ARC_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS",-,-
4,23588,MIM 106E,Structural Mechanics,Physical (Face to face),Cenk Üstündağ,MMB MMB,Wednesday Wednesday,10:30/12:29 08:30/10:29,311 311,60,47,-,"ARC_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS",-,-
5,23589,MIM 106E,Structural Mechanics,Physical (Face to face),Ferhat Pakdamar,MMB MMB,Tuesday Tuesday,10:30/12:29 13:30/15:29,227 227,60,59,-,"ARC_LS, ENTE_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS",-,-
6,23591,MIM 114E,Accessibility,Physical (Face to face),Göksenin İnalhan,MMB,Tuesday,09:30/11:29,119A,20,4,-,"MIM_LS, MIME_LS",-,-
7,23590,MIM 119E,Int.to Architecture and Ethics,Physical (Face to face),Saniye Feyza Ergün,MMB,Wednesday,12:30/15:29,313,5,2,-,"MIM_LS, MIME_LS",-,-
8,23592,MIM 120E,Int.toCmp.Ds.Tools&Mth.inArch.,Virtual (Online),Mıchael Stefan Bıttermann,MMB,Friday,14:00/16:59,--,125,121,-,"ARC_LS, MIM_LS, MIME_LS",-,-
9,23593,MIM 120E,Int.toCmp.Ds.Tools&Mth.inArch.,Virtual (Online),Aslı Kanan,MMB,Friday,14:00/16:59,--,125,126,-,"ARC_LS, MIM_LS, MIME_LS",-,-
10,23594,MIM 204,Mimarlık. Yapı Elemanları Tas.,Physical (Face to face),Ayşe Nil Türkeri,MMB MMB,Wednesday Wednesday,09:30/12:29 13:30/15:29,212 212,30,29,-,MIM_LS,Detail,-
11,23596,MIM 204,Mimarlık. Yapı Elemanları Tas.,Physical (Face to face),Hülya Kuş,MMB MMB,Wednesday Wednesday,09:30/12:29 13:30/15:29,CATI5 CATI5,30,28,-,MIM_LS,Detail,-
12,23597,MIM 204,Mimarlık. Yapı Elemanları Tas.,Physical (Face to face),Caner Göçer,MMB MMB,Wednesday Wednesday,09:30/12:29 13:30/15:29,CATI2 CATI2,30,30,-,MIM_LS,Detail,-
13,23598,MIM 204E,Arch.Building Element Design,Physical (Face to face),Fatih Yazıcıoğlu,MMB MMB,Wednesday Wednesday,09:30/12:29 13:30/15:29,CATI3 CATI3,30,30,-,"ARC_LS, MIME_LS",Detail,-
14,23599,MIM 204E,Arch.Building Element Design,Physical (Face to face),Fadime Yalçınkaya Çalışkan,MMB MMB,Wednesday Wednesday,09:30/12:29 13:30/15:29,CATI1 CATI1,30,28,-,"ARC_LS, MIME_LS",Detail,-
15,23605,MIM 204E,Arch.Building Element Design,Physical (Face to face),Aycan Doğan Çebi,MMB MMB,Wednesday Wednesday,09:30/12:29 13:30/15:29,CATI1 CATI1,30,17,-,"ARC_LS, MIME_LS",Detail,-
