,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24910,MMD 204E,Maritime Law,Physical (Face to face),Arda Özkan,DZB,Tuesday,08:30/11:29,--,30,20,-,MMD_LS,-,-
1,24913,MMD 206E,Cargo Operations,Physical (Face to face),Ahmet Lutfi Tunçel,DZB,Wednesday,13:30/15:29,--,30,10,-,MMD_LS,-,-
2,25143,MMD 208E,İnternational Trade Policies,Physical (Face to face),Ahmet Atıl Aşıcı,MSB,Thursday,09:30/12:29,109,40,17,-,MMD_LS,-,-
3,25144,MMD 244E,Macroeconomics,Physical (Face to face),Ayşe Aylin Bayar,MSB,Wednesday,09:30/12:29,B04,40,8,-,MMD_LS,Detail,-
4,24916,MMD 302E,Brokering and Chartering,Physical (Face to face),Serap İncaz,DZB,Monday,12:30/14:29,--,40,13,-,MMD_LS,-,-
5,24920,MMD 304E,Maritime Insurance Law,Physical (Face to face),Sinan Çakır,DZB,Wednesday,12:30/15:29,--,30,27,-,MMD_LS,-,-
6,25331,MMD 306E,Strategic Management,Physical (Face to face),"Pelin Bolat , Fırat Bolat",DZB,Monday,14:30/16:29,--,40,14,-,MMD_LS,-,Detail
7,25332,MMD 310E,Logistics Information System,Physical (Face to face),Serap İncaz,DZB,Monday,09:30/12:29,--,40,30,-,MMD_LS,-,-
8,24923,MMD 318E,Navigation and Meteorology,Physical (Face to face),Ayşe Nak,DZB,Tuesday,09:30/10:29,--,30,7,-,MMD_LS,-,-
9,24924,MMD 321E,Quality Management in Maritime,Physical (Face to face),İsmail Kandemir,DZB,Wednesday,08:30/11:29,--,20,14,-,MMD_LS,-,-
10,24927,MMD 328E,Hazardous Material Transport.,Physical (Face to face),Elif Bal Beşikçi,DZB,Thursday,13:30/16:29,--,20,4,-,MMD_LS,-,-
11,24938,MMD 404E,Numerical Anl.forMaritime Adm.,Physical (Face to face),Bayram Barış Kızılsaç,DZB,Thursday,12:30/15:29,--,30,23,-,MMD_LS,-,-
12,25277,MMD 408E,Graduation Project,Physical (Face to face),Selim Aksoy,-,-,-/-,-,30,9,-,MMD_LS,-,Detail
13,24941,MMD 421E,Port Security Management,Physical (Face to face),Fırat Bolat,DZB,Tuesday,15:30/18:29,--,30,23,-,MMD_LS,-,-
14,24911,MMD 424E,Shipping Law,Physical (Face to face),Arda Özkan,DZB,Tuesday,14:30/17:29,--,30,19,-,MMD_LS,-,-
15,25335,MMD 425E,International Marketing,Physical (Face to face),Banu Evrim Taşyar,DZB,Thursday,15:30/18:29,--,40,12,-,MMD_LS,-,-
