,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25187,MTO 102,Bilgisayarlı Teknik Resim,Physical (Face to face),Hüsnü Barbaros Soyer,INB,Thursday,13:30/16:29,D104,70,63,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
1,23266,MTO 112,Meteoroloji Alet & Gözlem Usul,Physical (Face to face),"Levent Şaylan , Barış Çaldağ",MEDC MEDC,Tuesday Thursday,09:30/11:29 09:30/11:29,ZA4 ZA2,90,78,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
2,23273,MTO 214,Atmosfer Termodinamiği,Physical (Face to face),Kasım Koçak,MEDC MEDC,Monday Tuesday,11:30/13:29 12:30/14:29,1D10 1D10,60,55,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
3,23276,MTO 214E,Atmospheric Thermodynamics,Physical (Face to face),-,-,-,-/-,-,0,0,-,"IBM_LS, MTO_LS, MTOE_LS",-,-
4,23277,MTO 222,Hidroloji,Physical (Face to face),Barış Çaldağ,MEDC MEDC,Thursday Friday,14:30/16:29 08:30/10:29,ZD1 ZD1,100,60,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",Detail,-
5,23279,MTO 223,Bilgisayar Grafiğine Giriş,Physical (Face to face),Barış Önol,MEDC,Friday,14:30/17:29,3D20,80,47,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
6,23305,MTO 229E,Physics ofClouds&Precipitation,Physical (Face to face),Sevinç Asilhan,MEDC,Thursday,11:30/14:29,1D9,21,21,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",Detail,-
7,23306,MTO 254,İklim Bilimi,Physical (Face to face),Yurdanur Ünal,MEDC,Tuesday,14:30/17:29,1D3,45,34,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
8,23307,MTO 254E,Climatology,Physical (Face to face),Barış Önol,MEDC,Tuesday,14:30/17:29,1D4,45,45,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",-,-
9,24852,MTO 301,Meteo.Uzaktan Algılamanın Tem.,Physical (Face to face),Ahmet Öztopal,MEDC,Monday,09:30/11:29,2D11,60,28,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
10,23309,MTO 302,Hava Analizi ve Öngörü I,Physical (Face to face),Şükran Sibel Menteş,MEDC MEDC,Tuesday Thursday,08:30/10:29 08:30/10:29,2D14 2D14,60,30,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",Detail,-
11,23311,MTO 304,Havacılık Meteorolojisi,Physical (Face to face),Emrah Tuncay Özdemir,MEDC,Monday,11:30/13:29,ZA1,75,51,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
12,23313,MTO 337E,Atmospheric Dynamics I,Physical (Face to face),Elçin Tan,MEDC MEDC,Monday Wednesday,15:30/17:29 11:30/13:29,ZD2 ZD2,50,38,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",-,-
13,23315,MTO 340,Atmosfer Dinamiği II,Physical (Face to face),"Ali Deniz , Bahtiyar Efe",MEDC MEDC,Monday Wednesday,15:30/17:29 11:30/13:29,2D11 2D11,25,26,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",Detail,-
14,23321,MTO 340E,Atmospheric Dynamics II,Physical (Face to face),Yurdanur Ünal,MEDC MEDC,Monday Wednesday,15:30/17:29 11:30/13:29,2D14 2D14,25,12,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",Detail,-
15,24853,MTO 351E,Hydrometeorology,Physical (Face to face),"Sevinç Asilhan , Elçin Tan",MEDC,Thursday,14:30/17:29,1D9,11,11,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",-,-
16,23333,MTO 361,Hava Kirliliği Modellemesi,Physical (Face to face),Hüseyin Toros,MEDC,Thursday,08:30/11:29,1D6,25,25,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
17,23335,MTO 362,İnsans.Hava Sis.ile Meteo.Uyg.,Physical (Face to face),"Emrah Tuncay Özdemir , Orkan Özcan",MEDC,Tuesday,11:30/14:29,1D5,15,16,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
18,25188,MTO 388,Coğrafi Bilgi Bilimi,Physical (Face to face),Filiz Türk Katırcıoğlu,INB,Friday,09:30/12:29,D104,40,28,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
19,23340,MTO 406E,Wheather Analysis and Prediction II,Physical (Face to face),Emrah Tuncay Özdemir,MEDC MEDC,Tuesday Wednesday,09:30/11:29 09:30/11:29,1D4 1D3,50,37,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",Detail,-
20,23345,MTO 426E,Micrometeorology,Physical (Face to face),Ceyhan Kahya,MEDC,Thursday,11:30/14:29,2D18,105,62,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",Detail,-
21,23331,MTO 453E,Climate Dynamics,Physical (Face to face),"Yurdanur Ünal , Cemre Sonuç",MEDC,Wednesday,08:30/11:29,1D6,20,6,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD, MTOE_LS",-,-
22,23352,MTO 456,Hava Kirliliği Kontrolü,Physical (Face to face),Ceyhan Kahya,MEDC,Friday,09:30/12:29,1D4,15,20,-,"IBM_LS, IBM_YD, MTO_LS, MTO_YD",-,-
