,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22074,MTR 102,Makam Teorisi II,Physical (Face to face),Eren Özek,TMB TMB TMB,Tuesday Wednesday Friday,13:30/15:29 13:30/15:29 08:30/10:29,-- -- --,40,39,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
1,22076,MTR 102,Makam Teorisi II,Physical (Face to face),Elif Ahıs Yunusoğlu,TMB TMB TMB,Tuesday Wednesday Thursday,10:30/12:29 13:30/15:29 15:30/17:29,-- -- --,40,36,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
2,25090,MTR 102,Makam Teorisi II,Physical (Face to face),Nurullah Kanık,TMB TMB TMB,Monday Wednesday Friday,13:30/15:29 10:30/12:29 14:00/15:59,-- -- --,40,14,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
3,22075,MTR 104,Müzik Teorisi II,Physical (Face to face),Ayşecan Olgun,TMB TMB TMB,Monday Thursday Friday,15:30/17:29 10:30/12:29 10:30/12:29,-- -- --,30,30,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
4,22077,MTR 104,Müzik Teorisi II,Physical (Face to face),Ufuk Biçak,TMB TMB TMB,Tuesday Thursday Friday,13:30/15:29 13:30/15:29 14:00/15:59,-- -- --,30,29,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
5,22097,MTR 104,Müzik Teorisi II,Physical (Face to face),Mehmet Özkan,TMB TMB TMB,Monday Tuesday Wednesday,08:30/10:29 15:30/17:29 08:30/10:29,-- -- --,30,25,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
6,22102,MTR 106,Ritim Uygulama II,Physical (Face to face),Erkan Kanat,TMB,Wednesday,10:30/12:29,--,25,23,-,MTR_LS,-,-
7,22157,MTR 122,Makam Teorisi II,Physical (Face to face),Ali İhsan Alemli,TMB TMB,Tuesday Wednesday,10:30/12:29 13:30/15:29,-- --,30,7,-,THO_LS,Detail,-
8,22161,MTR 124,Müzik Teorisi II,Physical (Face to face),Orkun Zafer Özgelen,TMB TMB,Tuesday Wednesday,15:30/17:29 08:30/10:29,-- --,25,12,-,THO_LS,Detail,-
9,22141,MTR 142,Makam Teorisi II,Physical (Face to face),Şirin Karadeniz,TMB TMB,Tuesday Friday,13:30/15:29 10:30/12:29,-- --,25,14,-,"BST_LS, CAB_LS, CEB_LS, KMP_LS",Detail,-
10,22143,MTR 144,Müzik Teorisi II,Physical (Face to face),Recep Gül,TMB TMB,Tuesday Wednesday,08:30/10:29 13:30/15:29,-- --,25,20,-,"BST_LS, CAB_LS, CEB_LS, KMP_LS",Detail,-
11,25535,MTR 201,Makam Teorisi III,Ek Sınav,Nurullah Kanık,-,-,-/-,-,0,2,-,-,Detail,-
12,22083,MTR 202,Makam Teorisi IV,Physical (Face to face),Eren Özek,TMB TMB TMB,Tuesday Wednesday Thursday,10:30/12:29 10:30/12:29 10:30/12:29,-- -- --,35,19,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
13,22090,MTR 202,Makam Teorisi IV,Physical (Face to face),Elif Ahıs Yunusoğlu,TMB TMB TMB,Monday Wednesday Thursday,10:30/12:29 10:30/12:29 13:30/15:29,-- -- --,35,17,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
14,22098,MTR 202,Makam Teorisi IV,Physical (Face to face),Nurullah Kanık,TMB TMB TMB,Monday Wednesday Friday,15:30/17:29 08:30/10:29 10:30/12:29,-- -- --,40,28,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
15,25632,MTR 203,Müzik Teorisi III,Ek Sınav,Ayşecan Olgun,-,-,-/-,-,0,1,-,-,Detail,-
16,22087,MTR 204,Müzik Teorisi IV,Physical (Face to face),Ayşecan Olgun,TMB TMB TMB,Monday Tuesday Friday,10:30/12:29 13:30/15:29 08:30/10:29,-- -- --,30,30,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
17,22093,MTR 204,Müzik Teorisi IV,Physical (Face to face),Ufuk Biçak,TMB TMB TMB,Tuesday Thursday Friday,15:30/17:29 15:30/17:29 10:30/12:29,-- -- --,30,26,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
18,22105,MTR 206,Müzik Teorileri Tarihi II,Physical (Face to face),Gülay Karamahmutoğlu,TMB,Wednesday,13:30/15:29,--,25,17,-,MTR_LS,-,-
19,22116,MTR 208,Teori Uygulama II,Physical (Face to face),Süleyman Şenel,TMB,Monday,08:30/10:29,--,30,25,-,MTR_LS,-,-
