,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21837,MUT 102,Kemençe Yapımı II,Physical (Face to face),Mehmet Haşim Açanal,-,-,-/-,-,10,2,-,"MUT_LS, MZT_LS",-,-
1,25407,MUT 112,Bağlama Yapımı,Physical (Face to face),Şafak Köksal,-,-,-/-,-,5,1,-,"MUT_LS, MZT_LS",-,-
2,25227,MUT 131,Akustik I,Physical (Face to face),Murat Tıraş,TMB,Thursday,08:30/10:29,--,10,8,-,"BST_LS, KMP_LS, MTR_LS, MUT_LS, MUZ_LS, MZT_LS",-,-
3,21835,MUT 132,Akustik II,Physical (Face to face),Murat Tıraş,TMB,Thursday,10:30/12:29,--,40,18,-,"MUT_LS, MZT_LS",-,-
4,21838,MUT 142,Ses Düzenleme ve Editing,Physical (Face to face),Oğuz Öz,TMB TMB,Tuesday Thursday,08:30/10:29 08:30/10:29,-- --,15,14,-,"MUT_LS, MZT_LS",-,-
5,21840,MUT 154,Ses Tasarımı,Physical (Face to face),Gökhan Deneç,TMB,Monday,15:30/17:29,--,15,12,-,"MUT_LS, MZT_LS",-,-
6,21867,MUT 162,Makina ve Takım Bilgisi,Physical (Face to face),Mehmet Tangör,TMB,Thursday,08:30/10:29,--,15,3,-,"MUT_LS, MZT_LS",-,-
7,21854,MUT 202,Keman Yapımı I,Physical (Face to face),Ahmet Tunç Buyruklar,-,-,-/-,-,10,1,-,"MUT_LS, MZT_LS",-,-
8,21842,MUT 242,Elektronik Ortam ve Müzik,Physical (Face to face),Gökhan Deneç,TMB TMB,Monday Wednesday,13:30/15:29 13:30/15:29,-- --,15,9,-,"MUT_LS, MZT_LS",-,-
9,21844,MUT 254,Sayısal Ses,Physical (Face to face),Ozan Sarıer,TMB,Tuesday,10:30/12:29,--,20,16,-,"MUT_LS, MZT_LS",-,-
10,21868,MUT 264,Üst Yüzey İşlemleri,Physical (Face to face),Mehmet Haşim Açanal,TMB,Tuesday,13:30/15:29,--,15,1,-,"MUT_LS, MZT_LS",-,-
11,21871,MUT 343,Çalgı Akustiği,Physical (Face to face),Mehmet Haşim Açanal,TMB,Wednesday,08:30/10:29,--,15,1,-,"MUT_LS, MZT_LS",-,-
12,21879,MUT 368,Çalgı Bilgisi II,Physical (Face to face),Ahmet Tunç Buyruklar,TMB,Monday,15:30/17:29,--,15,9,-,"MUT_LS, MZT_LS",-,-
13,21847,MUT 372,Görüntü İçin Ses,Physical (Face to face),"Taylan Özdemir , Yusuf Can Murtezaoğlu",TMB TMB,Monday Thursday,10:30/12:29 10:30/12:29,-- --,15,12,-,"MUT_LS, MZT_LS",-,-
14,21849,MUT 374,Elektronik Çalgı Bilgisi,Physical (Face to face),Sair Sinan Kestelli,TMB,Wednesday,10:30/12:29,--,15,8,-,"MUT_LS, MZT_LS",-,-
15,21870,MUT 376,Tar Yapımı,Physical (Face to face),"Mehmet Haşim Açanal , Mehmet Ali Sezen",-,-,-/-,-,10,3,-,"MUT_LS, MZT_LS",-,-
16,21851,MUT 381,Remiks,Physical (Face to face),Oğuz Öz,TMB,Thursday,13:30/15:29,--,15,14,-,"MUT_LS, MZT_LS",-,-
17,21856,MUT 386,Serbest Proje Çalışması II,Physical (Face to face),Can Karadoğan,-,-,-/-,-,5,5,-,"MUT_LS, MZT_LS",-,-
18,21857,MUT 386,Serbest Proje Çalışması II,Physical (Face to face),Ozan Sarıer,-,-,-/-,-,5,5,-,"MUT_LS, MZT_LS",-,-
