,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21184,MUZ 102,Müzik Tarihi II,Physical (Face to face),Ozan Baysal,TMB,Monday,13:30/15:29,--,30,17,-,MUZ_LS,-,-
1,21180,MUZ 112,Müzikolojiye Giriş,Physical (Face to face),Serkan Şener,TMB,Monday,09:30/12:29,--,30,18,-,MUZ_LS,-,-
2,21179,MUZ 122,Müzik Tarihi II,Physical (Face to face),Celal Volkan Kaya,TMB,Friday,16:00/17:59,--,30,17,-,"CAB_LS, CEB_LS, MTR_LS, SES_LS",-,-
3,21182,MUZ 122,Müzik Tarihi II,Physical (Face to face),Yalçın Çetinkaya,TMB,Monday,15:30/17:29,--,35,35,-,"CAB_LS, CEB_LS, MTR_LS, SES_LS",-,-
4,21187,MUZ 202,Müzik Tarihi IV,Physical (Face to face),Günay Koçhan,TMB,Friday,14:00/16:59,--,30,12,-,MUZ_LS,-,-
5,21137,MUZ 212,Osmanlıca II,Physical (Face to face),Celal Volkan Kaya,TMB TMB,Tuesday Thursday,16:30/17:29 08:30/10:29,-- --,30,6,-,MUZ_LS,Detail,-
6,21136,MUZ 222,Müzik Paleografyası,Physical (Face to face),Serhan Dilhan Yavuz,TMB TMB,Wednesday Thursday,13:30/15:29 16:30/17:29,-- --,30,11,-,MUZ_LS,-,-
7,21191,MUZ 302,Müzik Tarihi VI,Physical (Face to face),Serhan Dilhan Yavuz,TMB,Wednesday,09:30/12:29,--,30,9,-,MUZ_LS,-,-
8,25633,MUZ 311,Folklor ve Etnografya,Ek Sınav,Eray Cömert,-,-,-/-,-,0,1,-,-,-,-
9,21172,MUZ 312,Dünya Müzik Kültürlerine Giriş,Physical (Face to face),Faruk Çalışkan,TMB,Friday,14:00/15:59,--,30,21,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",-,-
10,25538,MUZ 321,Organolojiye Giriş,Ek Sınav,Günay Koçhan,-,-,-/-,-,0,1,-,-,-,-
11,21133,MUZ 322,Alan Araştırma Metodları,Physical (Face to face),Eray Cömert,TMB,Tuesday,13:30/16:29,--,20,8,-,"CAB_LS, CEB_LS, MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",-,-
12,21135,MUZ 322,Alan Araştırma Metodları,Physical (Face to face),Eray Cömert,TMB,Thursday,13:30/16:29,--,20,15,-,"CAB_LS, CEB_LS, MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",-,-
13,21192,MUZ 332,Transkripsiyon,Physical (Face to face),Serkan Şener,TMB,Monday,13:30/15:29,--,30,9,-,MUZ_LS,-,-
14,21195,MUZ 342,Seminer II,Physical (Face to face),Süleyman Şenel,TMB,Thursday,13:30/15:29,--,30,10,-,MUZ_LS,-,-
15,21197,MUZ 358,İleri Osmanlıca II,Physical (Face to face),Celal Volkan Kaya,TMB,Friday,10:30/12:29,--,30,6,-,MUZ_LS,Detail,-
16,21199,MUZ 378,18. Yüzyıl Osmanlı Müziği,Physical (Face to face),Celal Volkan Kaya,TMB,Friday,08:30/10:29,--,30,3,-,MUZ_LS,-,-
17,25576,MUZ 379,Dini Müzik I,Ek Sınav,İdris Melih Berse,-,-,-/-,-,0,1,-,-,-,-
18,21156,MUZ 380,Dini Müzik II,Physical (Face to face),İdris Melih Berse,TMB,Tuesday,10:30/12:29,--,30,23,-,"BST_LS, KMP_LS, MTR_LS, MUZ_LS, SES_LS",-,-
