,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24192,SBP 126,CBS ve Planlama,Physical (Face to face),Hasan Serdar Kaya,MMB,Tuesday,09:30/12:29,229,90,56,-,"SBP_LS, SBP_YD",-,-
1,24193,SBP 126E,GIS and Planning,Physical (Face to face),Fatih Terzi,MMB,Wednesday,09:30/12:29,231,90,71,-,"SBP_YD, SBPE_LS",-,-
2,24194,SBP 205E,Statistics,Physical (Face to face),Muhammed Ziya Paköz,MMB,Monday,13:30/16:29,229,150,123,-,"ENTE_LS, EUT_LS, EUTE_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",-,-
3,24195,SBP 207E,Project III: Site Plan.&Design,Physical (Face to face),Funda Yirmibeşoğlu,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,214 214,15,4,-,"SBP_LS, SBPE_LS",Detail,-
4,24801,SBP 208,Şehir Ekonomisi,Physical (Face to face),Emine Ferhan Gezici Korten,MMB,Tuesday,09:30/12:29,107,50,63,-,"SBP_LS, SBP_YD",-,-
5,24199,SBP 208E,Urban Economics,Physical (Face to face),Elif Alkay,MMB,Tuesday,09:30/12:29,106,50,72,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
6,24200,SBP 210,Şehir Sosyolojisi,Physical (Face to face),Aysu Uzsayılır,MMB,Monday,13:30/16:29,106,45,35,-,"SBP_LS, SBP_YD",-,-
7,24802,SBP 210E,Urban Sociology,Physical (Face to face),Elvan Gülöksüz,MMB,Monday,13:30/16:29,227,70,48,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
8,24203,SBP 214E,Geography,Physical (Face to face),Eda Yücesoy,MMB,Monday,09:30/12:29,309,35,25,PEME_LS/5/0 | ISLE_LS/8/0 | Diğer/22/25,"ISLE_LS, PEME_LS, SBP_LS, SBP_YD, SBPE_LS",-,-
9,24205,SBP 218,Proje IV: Stratejik Planlama & Politika Geliştirme,Physical (Face to face),Emine Ferhan Gezici Korten,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,203A 203A,10,11,-,SBP_LS,Detail,-
10,24206,SBP 218,Proje IV: Stratejik Planlama & Politika Geliştirme,Physical (Face to face),Seda Kundak,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,203A 203A,10,10,-,SBP_LS,Detail,-
11,24207,SBP 218,Proje IV: Stratejik Planlama & Politika Geliştirme,Physical (Face to face),Fatih Eren,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,214 214,7,7,-,SBP_LS,Detail,-
12,24208,SBP 218,Proje IV: Stratejik Planlama & Politika Geliştirme,Physical (Face to face),Rumeysa Ceylan Çalışkan,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,203C 203C,10,10,-,SBP_LS,Detail,-
13,24252,SBP 218E,Project IV: Spatial Strategic Planning & Policy Making,Physical (Face to face),Tüzin Baycan,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,203B 203B,13,13,-,SBPE_LS,Detail,-
14,24254,SBP 218E,Project IV: Spatial Strategic Planning & Policy Making,Physical (Face to face),Kerem Yavuz Arslanlı,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,203B 203B,13,12,-,SBPE_LS,Detail,-
15,24255,SBP 218E,Project IV: Spatial Strategic Planning & Policy Making,Physical (Face to face),"Başak Demireş Özkul , Hadiseh Hosseini Jahanabad",MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,203C 203C,13,13,-,SBPE_LS,Detail,-
16,24264,SBP 242E,Planning Theory and Techniques,Virtual (Online),Başak Demireş Özkul,MMB,Thursday,09:30/12:29,--,120,119,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
17,24268,SBP 251,Şehir ve Çevre Mühendisliği,Virtual (Online),Ali Fuat Aydın,MMB,Thursday,09:30/12:29,--,50,29,-,"SBP_LS, SBP_YD",-,-
18,24270,SBP 251E,Urban and Environmental Eng.,Virtual (Online),Mahmut Altınbaş,MMB,Thursday,09:30/12:29,--,50,12,-,"SBP_YD, SBPE_LS",-,-
19,24274,SBP 311E,Prj.V:Spatial Plan.&Urb.Dev.,Physical (Face to face),Aliye Ahu Gülümser,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,214 214,15,3,-,"SBP_LS, SBPE_LS",Detail,-
20,25174,SBP 311E,Prj.V:Spatial Plan.&Urb.Dev.,Physical (Face to face),Gamze Kazancı,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,214 214,10,6,-,"SBP_LS, SBPE_LS",Detail,-
21,24276,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Ebru Kerimoğlu,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,CATI5 CATI5,10,13,-,SBP_LS,Detail,-
22,24277,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Mehmet Ali Yüzer,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,CATI2 CATI2,10,13,-,SBP_LS,Detail,-
23,24278,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Numan Kılınç,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,CATI4 CATI4,10,14,-,SBP_LS,Detail,-
24,24279,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Muhammed Ziya Paköz,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,CATI2 CATI2,10,13,-,SBP_LS,Detail,-
25,24280,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Şevkiye Şence Türk,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,CATI1 CATI1,10,12,-,SBP_LS,Detail,-
26,24281,SBP 312E,Proj.VI:Spatial Plan.in Act.,Physical (Face to face),Yasin Bektaş,MMB MMB,Tuesday Friday,13:30/17:29 14:00/17:59,CATI3 CATI3,7,7,-,"SBP_LS, SBPE_LS",Detail,-
