,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25646,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,Ek Sınav,Sezen Tarakçı,-,-,-/-,-,0,1,-,-,-,-
1,24729,TES 121E,Project II,Physical (Face to face),Ozan Önder Özener,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,3400 3400,45,49,ARC_LS/4/5 | Diğer/41/44,"ARC_LS, MIM_LS, MIME_LS",Detail,-
2,24730,TES 121E,Project II,Physical (Face to face),Hatice İpek Avanoğlu,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,3400 3400,45,45,ARC_LS/4/4 | Diğer/41/41,"ARC_LS, MIM_LS, MIME_LS",Detail,-
3,24731,TES 121E,Project II,Physical (Face to face),Hakan Tong,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,3400 3400,45,46,ARC_LS/4/5 | Diğer/41/41,"ARC_LS, MIM_LS, MIME_LS",Detail,-
4,24732,TES 121E,Project II,Physical (Face to face),Can Uzun,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,3400 3400,45,43,ARC_LS/4/5 | Diğer/41/38,"ARC_LS, MIM_LS, MIME_LS",Detail,-
5,24733,TES 121E,Project II,Physical (Face to face),Turgay Kerem Koramaz,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,CATI2 CATI2,18,17,-,"SBP_LS, SBPE_LS",Detail,-
6,24734,TES 121E,Project II,Physical (Face to face),Zeynep Günay,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,CATI2 CATI2,17,17,-,"SBP_LS, SBPE_LS",Detail,-
7,24735,TES 121E,Project II,Physical (Face to face),Hasan Serdar Kaya,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,CATI2 CATI2,17,14,-,"SBP_LS, SBPE_LS",Detail,-
8,24736,TES 121E,Project II,Physical (Face to face),Sezen Tarakçı,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,CATI1 CATI1,17,16,-,"SBP_LS, SBPE_LS",Detail,-
9,24737,TES 121E,Project II,Physical (Face to face),İmge Akçakaya Waıte Jr,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,CATI1 CATI1,17,16,-,"SBP_LS, SBPE_LS",Detail,-
10,24738,TES 121E,Project II,Physical (Face to face),Pelin Efilti,MMB MMB,Monday Thursday,08:30/12:29 08:30/12:29,212 212,23,21,-,"ENTE_LS, EUT_LS, EUTE_LS",Detail,-
