,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21939,THO 110,Oyun Ritim Bilgisi II,Physical (Face to face),Eyüp Uzunkaya,TMB,Monday,10:30/12:29,--,12,12,-,THO_LS,Detail,-
1,21940,THO 110,Oyun Ritim Bilgisi II,Physical (Face to face),Eyüp Uzunkaya,TMB,Monday,08:30/10:29,--,12,12,-,THO_LS,Detail,-
2,21945,THO 112,Hareket Anatomisi II,Physical (Face to face),Şener Günay,TMB,Friday,16:00/17:59,--,22,21,-,THO_LS,-,-
3,25283,THO 112,Hareket Anatomisi II,Physical (Face to face),Şener Günay,TMB,Friday,14:00/15:59,--,10,5,-,THO_LS,-,-
4,21942,THO 114,Oyun Tekniği II,Physical (Face to face),İlknur Bektaş,TMB TMB,Tuesday Friday,13:30/15:29 10:30/12:29,-- --,20,20,-,THO_LS,Detail,-
5,21936,THO 116,Bale II,Physical (Face to face),Funda Bozkurt Saygı,TMB TMB,Wednesday Thursday,10:30/12:29 10:30/12:29,-- --,12,12,-,THO_LS,-,-
6,22472,THO 116,Bale II,Physical (Face to face),Yıldız Çankaya,TMB TMB,Wednesday Thursday,10:30/12:29 10:30/12:29,-- --,11,8,-,THO_LS,-,-
7,21947,THO 118,Kondisyon Ve Esneme II (Krdsz),Physical (Face to face),Funda Bozkurt Saygı,TMB TMB,Thursday Friday,08:30/10:29 14:00/15:59,-- --,22,22,-,THO_LS,-,-
8,21943,THO 120,Halk Oyunları Bilgisi,Physical (Face to face),Eyüp Uzunkaya,TMB TMB,Thursday Friday,16:30/17:29 08:30/10:29,-- --,25,23,-,THO_LS,-,-
9,21969,THO 202,Oyun Ritim Bilgisi IV,Physical (Face to face),Salim Sınar,TMB,Tuesday,10:30/12:29,--,20,1,-,THO_LS,Detail,-
10,21951,THO 204,Türk Halk Oyunları II,Physical (Face to face),Salim Sınar,TMB TMB,Tuesday Thursday,08:30/10:29 10:30/12:29,-- --,20,3,-,THO_LS,-,-
11,25225,THO 205,Oyunda Yöresel Tavırlar I,Physical (Face to face),Eyüp Uzunkaya,TMB TMB,Thursday Friday,10:30/12:29 14:00/15:59,-- --,10,1,-,THO_LS,-,-
12,21949,THO 206,Oyunda Yöresel Tavırlar II,Physical (Face to face),Eyüp Uzunkaya,TMB TMB,Monday Friday,15:30/17:29 10:30/12:29,-- --,20,5,-,THO_LS,-,-
13,21952,THO 208,Oyun Repertuvarı II,Physical (Face to face),Levent Ketenci,TMB TMB,Monday Wednesday,10:30/12:29 13:30/15:29,-- --,20,1,-,THO_LS,-,-
14,21982,THO 306,Oyunda Yöresel Tavırlar IV,Physical (Face to face),Aydın Balcı,TMB TMB,Tuesday Thursday,08:30/10:29 08:30/10:29,-- --,20,3,-,THO_LS,-,-
15,25226,THO 307,Oyun Repertuvarı III,Physical (Face to face),Serdar Bombacı,TMB TMB,Tuesday Friday,13:30/15:29 14:00/15:59,-- --,10,2,-,THO_LS,-,-
