,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20879,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),-,MED,Monday,18:30/20:29,--,0,0,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
1,25107,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Ali Çakmak,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
2,25108,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Ata Bilgili,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
3,25109,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Burcu Güneş,MED,Monday,18:30/20:29,--,0,4,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
4,25110,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Canan Sarıçam,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
5,25111,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Cevza Candan,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
6,25112,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Deniz Turgay Altılar,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
7,25113,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Emine Yaylalı,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
8,25114,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Esra Çapanoğlu Güven,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
9,25115,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Physical (Face to face),Esra Ece Bayat,MED,Monday,18:30/20:29,--,0,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
