,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,25190,UZB 106E,Int.Astronaut. Eng.&Des.,Physical (Face to face),Alim Rüstem Aslan,INB,Tuesday,13:30/17:29,D201,75,75,-,"UZB_LS, UZBE_LS",-,-
1,25189,UZB 112E,Computer Aided Drafting,Physical (Face to face),Hüsnü Barbaros Soyer,INB,Thursday,08:30/11:29,D100,40,30,-,"UCK_LS, UZB_LS, UZBE_LS",-,-
2,23131,UZB 220E,Mechanical Vibrations,Physical (Face to face),Seher Eken,MEDC,Wednesday,12:30/15:29,2D17,60,47,-,"UCK_LS, UZB_LS, UZBE_LS",-,-
3,23134,UZB 220E,Mechanical Vibrations,Physical (Face to face),Ali Tatar,MEDC,Wednesday,12:30/15:29,ZA2,60,60,-,"UCK_LS, UZB_LS, UZBE_LS",-,-
4,23136,UZB 220E,Mechanical Vibrations,Physical (Face to face),Özge Özdemir,MEDC,Wednesday,12:30/15:29,ZD1,60,60,-,"UCK_LS, UZB_LS, UZBE_LS",-,-
5,23140,UZB 310E,Compressible Aerodynamics,Physical (Face to face),Melike Nikbay,MEDC,Tuesday,14:30/17:29,3D20,65,62,-,"UCK_LS, UZB_LS, UZB_YD, UZBE_LS",Detail,-
6,23145,UZB 310E,Compressible Aerodynamics,Physical (Face to face),Bayram Çelik,MEDC,Tuesday,14:30/17:29,ZA1,60,64,-,"UCK_LS, UZB_LS, UZB_YD, UZBE_LS",Detail,-
7,23149,UZB 310E,Compressible Aerodynamics,Physical (Face to face),Aydın Mısırlıoğlu,MEDC,Tuesday,14:30/17:29,2D18,65,65,-,"UCK_LS, UZB_LS, UZB_YD, UZBE_LS",Detail,-
8,23154,UZB 314E,Heat Transfer,Physical (Face to face),Mete Budaklı,MEDC,Tuesday,12:30/14:29,ZA2,70,37,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
9,23158,UZB 314E,Heat Transfer,Physical (Face to face),Ahmet Ziyaettin Şahin,MEDC,Wednesday,08:30/10:29,1D10,60,60,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
10,23164,UZB 314E,Heat Transfer,Physical (Face to face),Bülent Tutkun,MEDC,Wednesday,08:30/10:29,3D20,60,54,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
11,25531,UZB 317E,Heat Transfer,Ek Sınav,Bülent Tutkun,-,-,-/-,-,0,1,-,-,Detail,-
12,23170,UZB 318E,Finite Element Method,Physical (Face to face),Vedat Ziya Doğan,MEDC,Monday,14:30/17:29,ZA3,80,81,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
13,23173,UZB 337E,Aerospace Structures,Physical (Face to face),Aytaç Arıkoğlu,MEDC,Monday,09:30/13:29,ZA2,70,54,-,"UZB_LS, UZBE_LS",Detail,-
14,25533,UZB 352,Yörünge Mekaniği,Ek Sınav,Cuma Yarım,-,-,-/-,-,0,1,-,-,Detail,-
15,23177,UZB 381E,Applic.of Satellite-Based Data,Physical (Face to face),Esra Erten,MEDC,Tuesday,11:30/14:29,1D9,30,9,-,UZBE_LS,-,-
16,23181,UZB 386E,Boundary Layer Theory,Physical (Face to face),Ayşe Gül Güngör,MEDC,Monday,13:30/16:29,ZA4,60,58,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
17,23186,UZB 420E,Spacecraft Systems Design II,Physical (Face to face),Alim Rüstem Aslan,MEDC,Tuesday,08:30/12:29,ZA3,55,56,-,"UZB_LS, UZB_YD, UZBE_LS",Detail,-
18,23191,UZB 420E,Spacecraft Systems Design II,Physical (Face to face),Alim Rüstem Aslan,MEDC,Monday,08:30/12:29,ZA4,50,27,-,"UZB_LS, UZB_YD, UZBE_LS",Detail,-
19,24946,UZB 421E,Attitude Determination & Ctrl.,Physical (Face to face),Ahmet Sofyalı,MEDC,Friday,09:30/12:29,ZA2,110,104,-,"UZB_LS, UZBE_LS",Detail,-
20,24947,UZB 438E,Robotic Control Systems,Physical (Face to face),Murad Abu-khalaf,MEDC,Thursday,14:30/17:29,ZA4,70,53,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
21,25534,UZB 441E,Rocket Propulsion,Ek Sınav,Fırat Oğuz Edis,-,-,-/-,-,0,1,-,-,Detail,-
22,24948,UZB 451E,Spacecraft Communications,Physical (Face to face),Erdem Onur Özyurt,MEDC,Friday,14:30/17:29,ZA1,90,87,-,"UZB_LS, UZBE_LS",-,-
23,23195,UZB 461E,Lunar Mission Trajectories,Physical (Face to face),Cuma Yarım,MEDC,Wednesday,12:30/15:29,1D3,45,21,-,UZBE_LS,Detail,-
24,23197,UZB 475E,Hypersonic Flows,Physical (Face to face),Bayram Çelik,MEDC,Thursday,08:30/11:29,1D7,40,9,-,UZBE_LS,Detail,Detail
25,23200,UZB 479E,Air and Space Law,Physical (Face to face),Nazlı Can,MEDC,Thursday,14:30/17:29,ZA2,65,61,-,"UCK_LS, UZB_LS, UZBE_LS",-,-
26,23205,UZB 4901E,Astronautical Eng. Design I,Physical (Face to face),Melike Nikbay,-,-,-/-,-,500,13,-,UZBE_LS,Detail,Detail
27,23209,UZB 4902E,Astronautical Eng. Design II,Physical (Face to face),Melike Nikbay,-,-,-/-,-,500,76,-,"UZB_LS, UZBE_LS",Detail,-
28,23215,UZB 492E,Graduation Project,Physical (Face to face),Melike Nikbay,-,-,-/-,-,500,1,-,"UZB_LS, UZBE_LS",-,Detail
