,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23988,YZV 104E,Introduction to Programming for Data Science,Physical (Face to face),Ahmet Cüneyd Tantuğ,BBB BBB,Thursday Thursday,09:30/12:29 13:30/15:29,104 Z-17,75,67,-,YZVE_LS,-,-
1,23989,YZV 202E,Optimization for Data Science,Physical (Face to face),Faik Boray Tek,BBB,Tuesday,13:30/16:29,Z-18,75,72,-,YZVE_LS,Detail,-
2,23990,YZV 212E,Fund.ofArtificial Intelligence,Physical (Face to face),Sanem Sarıel Uzer,BBB,Wednesday,12:30/15:29,104,85,65,-,YZVE_LS,Detail,-
3,23993,YZV 321E,Fund.ofArtificial Intelligence,Physical (Face to face),Berna Kiraz,BBB,Wednesday,12:30/15:29,104,5,3,-,YZVE_LS,Detail,-
4,23999,YZV 322E,Applied Data Engineering,Physical (Face to face),"Mehmet Tunçel , Berna Kiraz",BBB,Monday,12:30/16:29,Z-17,80,71,-,YZVE_LS,Detail,-
5,24000,YZV 405E,Natural Language Processing,Physical (Face to face),Gülşen Eryiğit,BBB,Wednesday,08:30/11:29,Z-19,70,63,-,YZVE_LS,Detail,-
6,24009,YZV 416E,Computer Vision,Physical (Face to face),Gözde Ünal,BBB,Monday,08:30/11:29,104,75,72,-,YZVE_LS,Detail,-
7,24017,YZV 445E,Artificial Intelligence Project,Physical (Face to face),Gökhan Ercan,BBB,Thursday,09:30/12:29,Z-22,25,24,-,YZVE_LS,Detail,-
8,24015,YZV 447E,Cognitive Neuroscience,Physical (Face to face),Didem Gökçay,BBB BBB,Tuesday Friday,15:30/17:29 15:30/17:29,Z-22 Z-22,20,11,-,YZVE_LS,Detail,-
9,24010,YZV 475E,Data Visualization,Physical (Face to face),Sefer Baday,BBB,Thursday,13:30/16:29,Z-21,40,40,-,YZVE_LS,Detail,-
10,24013,YZV 4901E,AI &Data Engineering Design I,Physical (Face to face),Berna Kiraz,-,-,-/-,-,45,18,-,YZVE_LS,Detail,Detail
11,24014,YZV 4902E,AI& Data Engineering Design II,Physical (Face to face),Tuğçe Bilen,-,-,-/-,-,45,41,-,YZVE_LS,Detail,-
12,24019,YZV 495E,Speech and Audio Processing,Physical (Face to face),Cenk Demiroğlu,BBB,Friday,09:30/12:29,Z-22,25,15,-,YZVE_LS,Detail,-
